V1,dV1,T1,dT1,V2,dV2,T2,dT
0.05,0.00075,0.04,0.0006,-0.00875,0.00131,0.08,0.0012
0.09375,0.00141,0.08,0.0012,-0.1687,0.0025,0.12,0.0018
0.1875,0.0028,0.12,0.0018,-0.275,0.0041,0.16,0.0024
0.2375,0.0036,0.16,0.0024,-0.3375,0.0051,0.2,0.003
0.3188,0.0046,0.2,0.003,-0.3875,0.0058,0.24,0.0036
0.4603,0.0061,0.24,0.0036,-0.4312,0.0065,0.28,0.0042
0.4688,0.007,0.28,0.0042,-0.4937,0.0074,0.32,0.0048
0.5125,0.00077,0.32,0.0048,-0.5312,0.008,0.36,0.0054
0.5687,0.0085,0.36,0.0054,-0.6026,0.0091,0.4,0.006
0.6062,0.0091,0.4,0.006,-0.6887,0.0103,0.44,0.0066
0.6687,0.01,0.48,0.0072,-0.7187,0.0107,0.52,0.0078
0.75,0.0112,0.52,0.0078,-0.7937,0.012,0.6,0.009
0.8063,0.0121,0.54,0.009,-0.8625,0.013,0.68,0.0102
0.8563,0.0128,0.6,0.0096,-0.9063,0.014,0.76,0.0114
0.9437,0.0142,0.8,0.012,-0.95,0.0142,0.84,0.0126
0.9938,0.0149,0.88,0.0132,-0.99938,0.015,0.92,0.0138
1.0308,0.016,0.96,0.0144,-1.044,0.016,1,0.015
1.106,0.016,1.12,0.017,-1.081,0.016,1.08,0.016
1.225,0.018,1.48,0.022,-1.212,0.018,1.44,0.022
1.337,0.02,2.12,0.032,-1.362,0.02,2.44,0.037
1.381,0.021,2.64,0.04,-1.4,0.021,3.36,0.05
1.4,0.021,3.04,0.046,-1.413,0.021,3.72,0.056
1.413,0.021,3.72,0.056,-1.419,0.021,3.88,0.058
1.419,0.021,4.2,0.063,-1.425,0.021,5.04,0.076
1.425,0.021,5,0.075,-1.431,0.021,5.88,0.088
1.431,0.021,6.24,0.094,-1.431,0.021,7.2,0.108
1.431,0.021,7.56,0.113,-1.431,0.021,8.76,0.131
1.431,0.021,9.129,0.137,-1.431,0.021,9.96,0.149
1.431,0.021,11.04,0.17,-1.431,0.021,11.92,0.18
1.431,0.021,13.32,0.2,-1.431,0.021,13.76,0.21
